	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	paan	Noun	tr	psychoactive preparation of betel leaf	asm	পাণ
eng	paan	Noun	tr	psychoactive preparation of betel leaf	fas	پان	tr=pān	sc=fa-Arab
eng	paan	Noun	tr	psychoactive preparation of betel leaf	fas	تانبول	tr=tāmbul	sc=fa-Arab
eng	paan	Noun	tr	psychoactive preparation of betel leaf	fin	paan
eng	paan	Noun	tr	psychoactive preparation of betel leaf	hin	पान	sc=Deva
eng	paan	Noun	tr	psychoactive preparation of betel leaf	hin	बीड़ा	sc=Deva
eng	paan	Noun	tr	psychoactive preparation of betel leaf	kan	ವೀಳ್ಯದೆಲೆ	sc=Knda
eng	paan	Noun	tr	psychoactive preparation of betel leaf	khm	ស្លាជីប	tr=slaa ciip	sc=Khmr
eng	paan	Noun	tr	psychoactive preparation of betel leaf	khm	ស្លាថ្មាត់	tr=slaa tmat	sc=Khmr
eng	paan	Noun	tr	psychoactive preparation of betel leaf	lao	ໝາກ
eng	paan	Noun	tr	psychoactive preparation of betel leaf	mal	പാൻ	sc=Mlym
eng	paan	Noun	tr	psychoactive preparation of betel leaf	mar	विडा
eng	paan	Noun	tr	psychoactive preparation of betel leaf	mya	ကွမ်းယာ
eng	paan	Noun	tr	psychoactive preparation of betel leaf	nep	पान
eng	paan	Noun	tr	psychoactive preparation of betel leaf	ori	ଖିଲିପାନ
eng	paan	Noun	tr	psychoactive preparation of betel leaf	por	paan	m
eng	paan	Noun	tr	psychoactive preparation of betel leaf	syl	ꠙꠣꠘ
eng	paan	Noun	tr	psychoactive preparation of betel leaf	tam	தாம்பூலம்	sc=Taml
eng	paan	Noun	tr	psychoactive preparation of betel leaf	tel	తాంబూలము	sc=Telu
eng	paan	Noun	tr	psychoactive preparation of betel leaf	tha	หมาก
eng	paan	Noun	tr	psychoactive preparation of betel leaf	vie	trầu
eng	pablum	Noun	tr	something bland or simplistic	cmn	单调乏味	tr=dāndiào fáwèi
eng	pablum	Noun	tr	something bland or simplistic	cmn	單調乏味
eng	pablum	Noun	tr	something bland or simplistic	deu	Einheitsbrei	m
eng	pablum	Noun	tr	something bland or simplistic	fin	puppu
eng	pablum	Noun	tr	something bland or simplistic	fra	bouillie	f
eng	pablum	Noun	tr	something bland or simplistic	hbs	bnalnost	f
eng	pablum	Noun	tr	something bland or simplistic	hbs	trivijalnost	f
eng	pablum	Noun	tr	something bland or simplistic	rus	бана́льщина	f
eng	pablum	Noun	tr	something bland or simplistic	swe	snack
eng	pabulum	Noun	tr	food or fodder	bul	храна	f
eng	pabulum	Noun	tr	food or fodder	lav	barība	f
eng	pabulum	Noun	tr	food or fodder	spa	pábulo
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	bul	петниста пака
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	cmn	无尾刺豚鼠	tr=wúwěi cìtúnshǔ
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	cmn	無尾刺豚鼠
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	fin	paka
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	ita	paca	m
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	myp	káixihíxao
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	nav	kʼiiznoodǫ́ǫzii
eng	paca	Noun	tr	rodent of genus ''Cuniculus''	pol	paka	f
